E:\IMG\IMG\center_2020_03_23_08_50_21_301.jpg,E:\IMG\IMG\left_2020_03_23_08_50_21_301.jpg,E:\IMG\IMG\right_2020_03_23_08_50_21_301.jpg,0,0,0,3.171033
E:\IMG\IMG\center_2020_03_23_08_50_21_394.jpg,E:\IMG\IMG\left_2020_03_23_08_50_21_394.jpg,E:\IMG\IMG\right_2020_03_23_08_50_21_394.jpg,0,0,0,3.125048
E:\IMG\IMG\center_2020_03_23_08_50_21_506.jpg,E:\IMG\IMG\left_2020_03_23_08_50_21_506.jpg,E:\IMG\IMG\right_2020_03_23_08_50_21_506.jpg,0,0,0,3.056855
E:\IMG\IMG\center_2020_03_23_08_50_21_603.jpg,E:\IMG\IMG\left_2020_03_23_08_50_21_603.jpg,E:\IMG\IMG\right_2020_03_23_08_50_21_603.jpg,0,0,0,3.000726
E:\IMG\IMG\center_2020_03_23_08_50_21_710.jpg,E:\IMG\IMG\left_2020_03_23_08_50_21_710.jpg,E:\IMG\IMG\right_2020_03_23_08_50_21_710.jpg,0,0,0,2.945226
E:\IMG\IMG\center_2020_03_23_08_50_21_812.jpg,E:\IMG\IMG\left_2020_03_23_08_50_21_812.jpg,E:\IMG\IMG\right_2020_03_23_08_50_21_812.jpg,0,0,0,2.890349
E:\IMG\IMG\center_2020_03_23_08_50_21_912.jpg,E:\IMG\IMG\left_2020_03_23_08_50_21_912.jpg,E:\IMG\IMG\right_2020_03_23_08_50_21_912.jpg,0,0,0,2.836087
E:\IMG\IMG\center_2020_03_23_08_50_22_015.jpg,E:\IMG\IMG\left_2020_03_23_08_50_22_015.jpg,E:\IMG\IMG\right_2020_03_23_08_50_22_015.jpg,0,0,0,2.782451
E:\IMG\IMG\center_2020_03_23_08_50_22_116.jpg,E:\IMG\IMG\left_2020_03_23_08_50_22_116.jpg,E:\IMG\IMG\right_2020_03_23_08_50_22_116.jpg,0,0,0,2.729415
E:\IMG\IMG\center_2020_03_23_08_50_22_223.jpg,E:\IMG\IMG\left_2020_03_23_08_50_22_223.jpg,E:\IMG\IMG\right_2020_03_23_08_50_22_223.jpg,0,0,0,2.666574
E:\IMG\IMG\center_2020_03_23_08_50_22_321.jpg,E:\IMG\IMG\left_2020_03_23_08_50_22_321.jpg,E:\IMG\IMG\right_2020_03_23_08_50_22_321.jpg,0,0,0,2.614854
E:\IMG\IMG\center_2020_03_23_08_50_22_427.jpg,E:\IMG\IMG\left_2020_03_23_08_50_22_427.jpg,E:\IMG\IMG\right_2020_03_23_08_50_22_427.jpg,0,0,0,2.563702
E:\IMG\IMG\center_2020_03_23_08_50_22_528.jpg,E:\IMG\IMG\left_2020_03_23_08_50_22_528.jpg,E:\IMG\IMG\right_2020_03_23_08_50_22_528.jpg,0,0,0,2.513113
E:\IMG\IMG\center_2020_03_23_08_50_22_631.jpg,E:\IMG\IMG\left_2020_03_23_08_50_22_631.jpg,E:\IMG\IMG\right_2020_03_23_08_50_22_631.jpg,0,0.3092088,0,2.723517
E:\IMG\IMG\center_2020_03_23_08_50_22_734.jpg,E:\IMG\IMG\left_2020_03_23_08_50_22_734.jpg,E:\IMG\IMG\right_2020_03_23_08_50_22_734.jpg,0,9.030104E-05,0,2.775841
E:\IMG\IMG\center_2020_03_23_08_50_22_839.jpg,E:\IMG\IMG\left_2020_03_23_08_50_22_839.jpg,E:\IMG\IMG\right_2020_03_23_08_50_22_839.jpg,0,0.313479,0,3.048879
E:\IMG\IMG\center_2020_03_23_08_50_22_942.jpg,E:\IMG\IMG\left_2020_03_23_08_50_22_942.jpg,E:\IMG\IMG\right_2020_03_23_08_50_22_942.jpg,0,0.6215886,0,3.684135
E:\IMG\IMG\center_2020_03_23_08_50_23_047.jpg,E:\IMG\IMG\left_2020_03_23_08_50_23_047.jpg,E:\IMG\IMG\right_2020_03_23_08_50_23_047.jpg,0,0.9340623,0,4.654563
E:\IMG\IMG\center_2020_03_23_08_50_23_144.jpg,E:\IMG\IMG\left_2020_03_23_08_50_23_144.jpg,E:\IMG\IMG\right_2020_03_23_08_50_23_144.jpg,0,1,0,5.785007
E:\IMG\IMG\center_2020_03_23_08_50_23_251.jpg,E:\IMG\IMG\left_2020_03_23_08_50_23_251.jpg,E:\IMG\IMG\right_2020_03_23_08_50_23_251.jpg,0,0.6815119,0,6.662813
